Unit Number,Unit Name,Cast,Cast Number,Gene,Unit Rank (Stars),Unit Type,Base Health,Base Speed,Base Accuracy Changes,Primary Attack Type,Primary Attack,Secondary Attack Type,Attribute/Secondary Attack,Bio,Outlaw,Stuart's Notes,Garrett's Notes,Marcus's Notes
1,RGB Commander,Photocaste,1,Pyrogene,4,Commander,2200,50,1,,Chromalaser: 700 damage,,"Maximize Absorbance: Red, Green, and Blue Soldier within two blocks of RGB Commander get a +200 damage boost and -2 for opponent's accuracy.","RGB Commander is the most elite Photocast soldier. After a deal made with PsyState, he received special commander training under both President Marilyn and King Leo to perfect his unique weaponry. He names his subordinates after the color of the gun he gives them and how many previously carried that gun.",,,,
2,3rd Red Soldier,Photocaste,2,Pyrogene,2,Standard,1300,40,0,,Infrared Blast: 200 damage,,Red Blister: 50 damage and Opponent now has Burn effect,One of the few soldiers to possess RGB Commander's unique weaponry. Red Soldier carries the Infrared Blaster Mk. III,,,,
3,Marigold Garden,Photocaste,3,Pyrogene,3,Blockade,4000,10 + Swiftness,0,,Flaming Bloom: 500 damage,,"Sentient Garden: If Marigold Garden moves, it cannot move next turn. Marigold Garden cannot enter either players' castles","Marigold Garden is beautiful, but full of blood thirsty plants. King Leo is the only person the garden allows to enter.",,,,
4,"Archangel of Light, Sirius",Photocaste,4,Pyrogene,4,Commander,2100,60,1,,Greater Divine Light: 650 damage,,Angelic Grace: All friendly units within two blocks get +3 accuracy and +10 speed,"Sirius is the main connection between the heavens and the overworld. Most angels despise humans and watch human wars for fun, but after meeting Queen Vega, Sirius wishes to bring peace and stability to the overworld.",,,,
5,"Angel of Light, Canopus",Photocaste,5,Pyrogene,3,Celestial,1650,50,0,,Lesser Divine Light: 350 damage,,"Divine Purification: If Canopus is facing a Necrocast, add +300 damage and burn effect to Lesser Divine Light.",Canopus originally followed Sirius to the overworld to help the humans achieve peace and stability. He became enraged by the necrocasts as he believed the overworld has no right to mess with the afterlife. He devotes his time purifying the wicked.,Lich Kingdom,,,
6,"Rainbow Pikeman, Alnitak",Photocaste,6,Pyrogene,2,Standard,1350,50,0,,Pike thrust: 200 damage,,Guarded Advance: 100 damage and -100 damage from the opponents next attack.,"Alnitak is one of Queen Vega's personally trained soldiers. He still young and inexperienced, but shows promise for the future.",,,,
7,"Rainbow Monk, Mintaka",Photocaste,7,Pyrogene,2,Standard,1250,60,0,,Fire Fists: 150 damage,,Burning Kick: 100 damage and opponent now has Burn effect,Mintaka's only weapons are her fists and legs. She protects the Rainbow Queen with a silent fury.,,,,
8,"Rainbow Elder, Betelgeuse",Photocaste,8,Pyrogene,3,Celestial,900,30,0,,Cane beatdown: 100 damage,,Wisdom of a True Commander: Betelgeuse does +2500 damage + Swiftness to Commander Units,"Betelgeuse spends most of day researching the commanders of all six nations. With his research, he was able to identify the weakness for each of the commanders. Unfortunately, no one in the Rainbow Queendom besides Betelgeuse has military experience to exploit the weaknesses.",,,,
9,"Rainbow Scout, Alnilam",Photocaste,9,Pyrogene,2,Standard,1100,80,0,,Torched Knife: 200 damage,,Slingshot Lava Rock: 100 damage and opponent now has Burn effect,Alnilam dislikes to fight unless she can strike first. Queen Vega uses her speed to scout out the enemy's army.,,,,
10,Pompeii,Photocaste,10,Pyrogene,1,Sacrifice,500,90,0,,Toxic Fumes: 100 damage,,"Petrification: Pompeii erupts, dealing 1200 damage to both Pompeii and the opponent","Pompeii is a sentient statue filled with lava. Despite being a statue, it is quick to attack and when it feels it will lose, it will erupt.",,,,
